trial_number,mean_iou,lr,weight_decay,num_epochs
0,0.187327807,0.00105812,0.007251841,3
1,0.134652296,0.001425151,0.002984103,2
2,0.18230824,0.004860667,0.006554543,4
3,0.137703224,0.004310146,0.005676034,5
4,0.117644667,0.001165181,0.002299284,2
5,0.179492029,0.001688102,0.004655016,3
6,0.151300652,0.009750023,0.002348516,4
7,0.150720881,0.001222347,0.009414324,3
8,0.162806054,0.00775444,0.003097161,5
9,0.132105139,0.006840057,0.005918982,5
10,0.158176588,0.002456746,0.008489642,3
11,0.198551611,0.004021764,0.007397979,4
12,0.113168425,0.002442057,0.007646197,4
13,0.121171563,0.003502194,0.007266572,3
14,0.153272134,0.002322377,0.009615169,4
15,0.151401425,0.005186199,0.004506885,2
16,0.162985659,0.00169087,0.008196271,3
17,0.187283748,0.003428369,0.00700005,4
18,0.169048616,0.001000916,0.008629883,4
19,0.145382434,0.00284249,0.004374829,3
20,0.203287411,0.000827888,0.000116482,6
21,0.149731288,0.000175273,0.00059584,5
22,0.152972971,0.000231979,0.000881719,6
23,0.181741363,0.000149654,0.000374786,6
24,0.145273684,0.000204887,0.000285279,5
25,0.140336847,0.000252984,0.000266272,2
26,0.148967968,0.000671109,0.000560235,2
27,0.112511526,0.000247004,0.000294629,2
28,0.131439293,0.000135499,0.000970099,4
29,0.124533588,0.000188222,0.000634216,3
30,0.227017749,0.000957275,0.000114748,5
31,0.217772541,0.000913816,0.000108136,5
32,0.168304745,0.000493113,0.000109463,4
33,0.203330086,0.000442457,0.000420356,5
34,0.191844984,0.000943095,0.000180456,5
35,0.173606826,0.000597824,0.000717838,4
36,0.127590518,0.00037138,0.000441467,3
37,0.247077727,0.000988288,0.000224612,5
38,0.180729783,0.000635928,0.000230697,3
39,0.217581504,0.000320554,0.00037432,6
